2019-11-14 21:42:06 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 21:42:10 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 21:42:11 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 21:43:07 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 21:43:09 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 21:43:25 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 21:43:26 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 21:43:27 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 21:44:03 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 21:44:04 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 21:44:05 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 21:44:05 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 21:49:06 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 21:51:37 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 22:02:15 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 22:02:50 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 22:02:51 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 22:02:52 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 22:03:30 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 22:03:31 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 22:03:31 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 22:04:43 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 22:04:44 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 22:04:45 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 22:05:10 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 22:05:11 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 22:05:12 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 22:05:16 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 22:05:17 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
